id,equ_str,equ_prefix,sol_str,sol_prefix
16,x^2*ln(x^2 + y) + x^2 - x*y' + y*ln(x^2 + y) + 3*y = 0,add add add add pow x 2 mul 3 y mul pow x 2 log add pow x 2 y mul y log add pow x 2 y mul mul -1 x y',-x^2 + e^(c*x - 3),add mul -1 pow x 2 exp add -3 mul c x
17,5*x*y' - 38*x - 15*y = 0,add add mul -38 x mul -15 y mul mul 5 x y',x*(c*x^2 - 4) + x/5,add mul div 1 5 x mul x add -4 mul c pow x 2
18,x*y' + y*ln(y + 20) - 2*y*ln(2) + 4*y*ln(5) + 20*ln(y + 20) - 40*ln(2) + 80*ln(5) = 0,add add add add add add mul -40 log 2 mul 20 log add 20 y mul 80 log 5 mul x y' mul y log add 20 y mul mul -2 y log 2 mul mul 4 y log 5,4*5^(c/x - 4) - 20,add -20 mul 4 pow 5 add -4 div c x
19,-x*y' - y - 2 = 0,add sub -2 y mul mul -1 x y',-3 - (c - x)/x,add -3 mul div -1 x sub c x
20,2*x*y*y' + x^sin(1)*sin(1) = 0,add mul pow x sin 1 sin 1 mul mul mul 2 x y' y,sqrt(c - x^sin(1)),sqrt sub c pow x sin 1
21,x*y' - y - 2 = 0,add sub -2 y mul x y',c*x - 2*x/5 - 2,add add -2 mul div -2 5 x mul c x
22,2*x*y' + 2*y + 3*y' = 0,add add mul 2 y mul 3 y' mul mul 2 x y',c/(-2*x/3 - 1),div c add -1 mul div -2 3 x
23,x*y' + y - 12 = 0,add add -12 mul x y' y,12*(c + x)/x,mul div 12 x add c x
24,2*x*y' + y = 0,add mul mul 2 x y' y,5*sqrt(2)/(2*sqrt(c*x)),mul mul div 5 2 sqrt 2 pow mul c x div -1 2
25,5*x*y' + y*ln(2) = 0,add mul y log 2 mul mul 5 x y',-2/(c*x)^(ln(4)/10),mul -2 pow mul c x mul div -1 10 log 4
26,12*y + y' = 0,add mul 12 y y',e^(c - 12*x),exp add c mul -12 x
27,-2*y*ln(5) + y' - 4*ln(5) = 0,add add mul -4 log 5 mul mul -2 y log 5 y',5^(c + 2*x) - 2,add -2 pow 5 add c mul 2 x
28,y*ln(3) + 3*y' = 0,add mul 3 y' mul y log 3,-3^(c - x/3)/2,mul div -1 2 pow 3 add c mul div -1 3 x
29,y*ln(2) + y' - 5*ln(2) = 0,add add mul -5 log 2 mul y log 2 y',2^(c - x) + 5,add 5 pow 2 sub c x
30,x^36*y' - 35 = 0,add -35 mul pow x 36 y',c - 1/x^35,sub c pow x -35
31,x^5*y' - 4*y = 0,add mul -4 y mul pow x 5 y',e^(c - 1/x^4),exp sub c pow x -4
32,-3*sin(x) + y' = 0,add mul -3 sin x y',c - 3*cos(x),add c mul -3 cos x
33,-y^2 + 27*y' = 0,add mul -1 pow y 2 mul 27 y',27/(c - x),div 27 sub c x
34,4*x^3 + 5*y' - 15 = 0,add add -15 mul 4 pow x 3 mul 5 y',c - x^4/5 + 3*x,add add c mul 3 x mul div -1 5 pow x 4
35,x^2*y' - 4 = 0,add -4 mul pow x 2 y',c + (x - 4)/x,add c mul pow x -1 add -4 x
36,-12*y*ln(2) + y' = 0,add mul mul -12 y log 2 y',4^(c + 6*x),pow 4 add c mul 6 x
37,2*x*y' - 10*y + 5 = 0,add add 5 mul -10 y mul mul 2 x y',c*x^5 + 1/2,add div 1 2 mul c pow x 5
38,80*x^2 + x*y' - y + 100 = 0,add add sub 100 y mul 80 pow x 2 mul x y',-20*x*(c + 4*x) + 100,add 100 mul mul -20 x add c mul 4 x
39,x*y' + y + 1 = 0,add add 1 mul x y' y,4*(c - x/4)/x,mul div 4 x add c mul div -1 4 x
40,x*y' - y + cos(4) + 4 = 0,add add sub 4 y mul x y' cos 4,c*x + cos(4) + 4,add add 4 mul c x cos 4
41,-8*x*sin(8*x) + cos(8*x) + y' = 0,add add mul mul -8 x sin mul 8 x y' cos mul 8 x,c - x*cos(8*x),add c mul mul -1 x cos mul 8 x
42,2*y*sin(sin(2*x - 5))*cos(2*x - 5) + cos(sin(2*x - 5))*y' = 0,add mul y' cos sin add -5 mul 2 x mul mul mul 2 cos add -5 mul 2 x y sin sin add -5 mul 2 x,c*cos(sin(2*x - 5)),mul c cos sin add -5 mul 2 x
43,2*x^2 + x*y' - y - 1 = 0,add add sub -1 y mul 2 pow x 2 mul x y',-2*x*(c + x) - 1,add -1 mul mul -2 x add c x
44,3*x^2 - 10*x + y' + 1 = 0,add add add 1 mul -10 x mul 3 pow x 2 y',c + 3*x + (4 - x)*(x^2 - x),add add c mul 3 x mul sub 4 x sub pow x 2 x
45,(5^x*ln(5) - 1)*cos(5^x - x) + y' = 0,add mul add -1 mul pow 5 x log 5 cos sub pow 5 x x y',c + (-x*sin(5^x - x) - x)/x,add c mul pow x -1 add mul -1 x mul mul -1 x sin sub pow 5 x x
46,x*y' - y*ln(y/x - 5/x) - y + 5*ln(y/x - 5/x) + 5 = 0,add add add sub 5 y mul 5 log add div -5 x mul pow x -1 y mul x y' mul mul -1 y log add div -5 x mul pow x -1 y,x*e^(c*x) + 5,add 5 mul x exp mul c x
47,9*x*y' + 9*y - 4*y' = 0,add add mul -4 y' mul 9 y mul mul 9 x y',c/(x*(3 - 4/(3*x))),div div c x add 3 div div -4 3 x
48,5*x^4 + 4*y' = 0,add mul 4 y' mul 5 pow x 4,c - x^5/4,add c mul div -1 4 pow x 5
49,x*y' - 2*y*ln(y/x) - 4*y*ln(2) - y + 2*y*ln(7) = 0,add add add add mul -1 y mul x y' mul mul -4 y log 2 mul mul -2 y log mul pow x -1 y mul mul 2 y log 7,7*x*e^(c*x^2)/4,mul mul div 7 4 x exp mul c pow x 2
50,x^2*y' + 2*x*y + y' = 0,add add mul pow x 2 y' mul mul 2 x y y',c/(3*x^2 + 3),div c add 3 mul 3 pow x 2
51,3*x - 3*y - 2*y' + 2 = 0,add add add 2 mul -3 y mul -2 y' mul 3 x,c*e^(-3*x/2) + x,add x mul c exp mul div -3 2 x
52,-y*e^(x)*ln(5) + y' = 0,add mul mul mul -1 exp x y log 5 y',5^e^(x)*c,mul c pow 5 exp x
53,2*x*y' + y = 0,add mul mul 2 x y' y,sqrt(10)*sqrt(c/x)/10,mul mul div 1 10 sqrt 10 sqrt div c x
54,y' + 4*e^(3) = 0,add mul 4 exp 3 y',-(c + 4*x)*e^(3) + 5,add 5 mul mul -1 add c mul 4 x exp 3
55,9*x*y' - 8*x - 18*y = 0,add add mul -18 y mul -8 x mul mul 9 x y',x*(c*x - 8/9),mul x add div -8 9 mul c x
56,-2*x + y' - 2 = 0,add add -2 mul -2 x y',c + x*(x + 3) - x,add sub c x mul x add 3 x
57,5*x + 2*y' - 4 = 0,add add -4 mul 2 y' mul 5 x,c - 5*x^2/4 + 2*x,add add c mul 2 x mul div -5 4 pow x 2
58,x*y' + 6*x - 2*y = 0,add add mul -2 y mul 6 x mul x y',x*(c*x + 6),mul x add 6 mul c x
59,4*x^3 - 9*x*y' + 9*y = 0,add add mul 4 pow x 3 mul 9 y mul mul -9 x y',x*(c + 6*x^2)/27,mul mul div 1 27 x add c mul 6 pow x 2
60,3*x*y' - 6*y - 4 = 0,add add -4 mul -6 y mul mul 3 x y',c*x^2 - 2/3,add div -2 3 mul c pow x 2
61,45*sin(x) + 45*y' + 2 = 0,add add 2 mul 45 y' mul 45 sin x,c - 2*x/45 + cos(x),add add c mul div -2 45 x cos x
62,x*y' + 2 = 0,add 2 mul x y',c - 2*ln(-5*x),add c mul -2 log mul -5 x
63,sin(x)^3*y' - 2*cos(x) = 0,add mul -2 cos x mul pow sin x 3 y',c - 1/sin(x)^2,sub c pow sin x -2
64,5*2^cos(x)*ln(2)*sin(x) + y' - 1 = 0,add add -1 mul mul mul 5 pow 2 cos x log 2 sin x y',5*2^cos(x) + c + x,add add c x mul 5 pow 2 cos x
65,-4*x*ln(4*x + y - 4) + x*y' + 4*x - y*ln(4*x + y - 4) + 4*ln(4*x + y - 4) = 0,add add add add mul 4 x mul 4 log add add -4 mul 4 x y mul x y' mul mul -1 y log add add -4 mul 4 x y mul mul -4 x log add add -4 mul 4 x y,-4*x + cos(5)^(c*x) + 4,add add 4 pow cos 5 mul c x mul -4 x
66,y' - ln(4) + 5 = 0,add sub 5 log 4 y',c + x*(-5 + ln(4)),add c mul x add -5 log 4
67,-64*x*e^(32*x^2) + y' - 1 = 0,add add -1 mul mul -64 x exp mul 32 pow x 2 y',c + x + e^(32*x^2),add add c x exp mul 32 pow x 2
68,-4*x^3 - 3*x^2 + y' = 0,add add mul -4 pow x 3 mul -3 pow x 2 y',c + x*(x^3 + x^2 - 4) + 4*x,add add c mul 4 x mul x add add -4 pow x 2 pow x 3
69,3*x*ln(3) + 3*y*ln(3) - y' - 1 = 0,add add sub -1 y' mul mul 3 x log 3 mul mul 3 y log 3,(1/27)^(c - x) - x,sub pow div 1 27 sub c x x
70,x*y' - 3*y = 0,add mul -3 y mul x y',x^2*(c*x + x),mul pow x 2 add x mul c x
71,y' - 42 = 0,add -42 y',c + 42*x,add c mul 42 x
72,20*y*ln(3) + y' = 0,add mul mul 20 y log 3 y',3^(c - 20*x),pow 3 add c mul -20 x
73,x*y' + 2*y*ln(y) = 0,add mul x y' mul mul 2 y log y,5^(c/x^2),pow 5 mul c pow x -2
74,x*y' - y + 64 = 0,add sub 64 y mul x y',c*x - x/4 + 64,add add 64 mul div -1 4 x mul c x
75,2*x*y^2 - 5*y' = 0,add mul -5 y' mul mul 2 x pow y 2,-5/(c - x*(1 - x) + x),div -5 add add c x mul mul -1 x sub 1 x
76,27*x*y' - 27*y*ln(y) + y*ln(3) = 0,add add mul y log 3 mul mul -27 y log y mul mul 27 x y',3^(c*x + 1/27),pow 3 add div 1 27 mul c x
77,x^2*y' + 12*x*y - 5*y' = 0,add add mul -5 y' mul pow x 2 y' mul mul 12 x y,c/(5 - x^2)^6,mul c pow sub 5 pow x 2 -6
78,3*x*y' + x - 3*y = 0,add add x mul -3 y mul mul 3 x y',x*(c - ln(x))/3,mul mul div 1 3 x sub c log x
79,x*y' - y - 5 = 0,add sub -5 y mul x y',-5*x*(c + 1/x),mul mul -5 x add c pow x -1
80,3*x*y' + 3*y + 8 = 0,add add 8 mul 3 y mul mul 3 x y',8*(c - x)/(3*x),mul div div 8 3 x sub c x
81,x*y' - 3*y - 9 = 0,add add -9 mul -3 y mul x y',c*x^3 - 3,add -3 mul c pow x 3
82,x^2*cos(x)^2 - x*y*sin(x) - x*cos(x)*y' + y*cos(x) = 0,add add add mul pow x 2 pow cos x 2 mul cos x y mul mul mul -1 x y' cos x mul mul mul -1 x y sin x,(c*x + x^2)*cos(x),mul add pow x 2 mul c x cos x
83,5*x*sin(x + 2) - 5*cos(x + 2) + y' + 1 = 0,add add add 1 mul -5 cos add 2 x mul mul 5 x sin add 2 x y',c + 5*x*cos(x + 2) - x,add sub c x mul mul 5 x cos add 2 x
84,2*x^x*(ln(x) + 1) + y' + 8 = 0,add add 8 mul mul 2 pow x x add 1 log x y',c - 8*x - 2*x^x,add add c mul -8 x mul -2 pow x x
85,-2*x^2*cos(x^2) + x*y' - 2*x + y - sin(x^2) + 12 = 0,add add add add sub 12 sin pow x 2 mul -2 x mul x y' mul mul -2 pow x 2 cos pow x 2 y,c/x + x + sin(x^2) - 12,add add add -12 x div c x sin pow x 2
86,y*ln(5)*sin(x) - y*cos(x) + sin(x)*y' = 0,add add mul y' sin x mul mul -1 cos x y mul mul y log 5 sin x,5^(c - x)*sin(x),mul pow 5 sub c x sin x
87,x^2*y' - y*sin(1/x) = 0,add mul pow x 2 y' mul mul -1 y sin pow x -1,e^(c + cos(1/x)),exp add c cos pow x -1
88,2*15^x*x^2*ln(15) - x*y' + y = 0,add add mul mul -1 x y' mul mul mul 2 pow 15 x pow x 2 log 15 y,2*x*(15^x + c),mul mul 2 x add c pow 15 x
89,x*y' - y - 10 = 0,add sub -10 y mul x y',c*x - 2*x - 10,add add -10 mul -2 x mul c x
90,7*x^2*y' - 2 = 0,add -2 mul mul 7 pow x 2 y',c - 2/(7*x),add c div div -2 7 x
91,-x*cos(x) + x*y' + y - sin(x) - 3 = 0,add add add sub -3 sin x mul x y' mul mul -1 x cos x y,c/x + sin(x) + 3,add add 3 div c x sin x
92,3*x^2 - x*y' + y + 5 = 0,add add add 5 mul 3 pow x 2 mul mul -1 x y' y,x*(c + 3*x) - 5,add -5 mul x add c mul 3 x
93,3*x^2 - 5*x*y' + 5*y = 0,add add mul 3 pow x 2 mul 5 y mul mul -5 x y',c*x + x*(3*x + 2)/5,add mul c x mul mul div 1 5 x add 2 mul 3 x
94,x^2*y' + 20*cos(20/x) = 0,add mul 20 cos div 20 x mul pow x 2 y',c + sin(20/x),add c sin div 20 x
95,x^5*y' - 5*x^4*y*ln(y) + 5*y' = 0,add add mul 5 y' mul pow x 5 y' mul mul mul -5 pow x 4 y log y,e^(c*(-x^5 - 5)),exp mul c sub -5 pow x 5
96,x*sin(5)*y' + y*sin(5) + 2 = 0,add add 2 mul y sin 5 mul mul x y' sin 5,(c - 2*x)/(x*sin(5)),mul div pow x -1 sin 5 add c mul -2 x
97,x*y' - y + 10 = 0,add sub 10 y mul x y',c*x + x/7 + 10,add add 10 mul div 1 7 x mul c x
98,x*y' - y + 7 = 0,add sub 7 y mul x y',c*x - 2*x + 7,add add 7 mul -2 x mul c x
99,2*x*ln(-2*x + 2*y + 13) + 2*x*y' - 2*x - 2*x*ln(2) - 2*y*ln(-2*x + 2*y + 13) + 2*y*ln(2) - 13*ln(-2*x + 2*y + 13) + 13*ln(2) = 0,add add add add add add add mul -13 log add add 13 mul -2 x mul 2 y mul -2 x mul 13 log 2 mul mul -2 x log 2 mul mul -2 y log add add 13 mul -2 x mul 2 y mul mul 2 x y' mul mul 2 x log add add 13 mul -2 x mul 2 y mul mul 2 y log 2,5^(c*x) + x - 13/2,add add div -13 2 x pow 5 mul c x
100,x*y' + 3*y + y' = 0,add add mul 3 y mul x y' y',c/(5*x + 5)^3,mul c pow add 5 mul 5 x -3
101,x*y' + 2*y = 0,add mul 2 y mul x y',c/(x*(x - 1) + x),div c add x mul x add -1 x
102,11*y' + 4 = 0,add 4 mul 11 y',c - 4*x/11,add c mul div -4 11 x
103,6*x - 3*y' + 2 = 0,add add 2 mul -3 y' mul 6 x,c + x^2 + 2*x/3,add add c pow x 2 mul div 2 3 x
104,2*x^2 - x*y' + y = 0,add add mul 2 pow x 2 mul mul -1 x y' y,-2*x*(c - x),mul mul -2 x sub c x
105,2*x^2*cos(x) + 4*x*sin(x) - 2*y' + 1 = 0,add add add 1 mul -2 y' mul mul 2 pow x 2 cos x mul mul 4 x sin x,c + x^2*sin(x) + x/2,add add c mul div 1 2 x mul pow x 2 sin x
106,x*y' - y*ln(y - 3) + 3*ln(y - 3) = 0,add add mul 3 log add -3 y mul x y' mul mul -1 y log add -3 y,e^(c*x) + 3,add 3 exp mul c x
107,x^2 - x*y' + y + 2 = 0,add add add 2 pow x 2 mul mul -1 x y' y,c*x + x^2 - 2,add add -2 pow x 2 mul c x
108,3^(x/2)*x*ln(3) + 2*3^(x/2) - 2*y' = 0,add add mul -2 y' mul 2 pow 3 mul div 1 2 x mul mul x pow 3 mul div 1 2 x log 3,3^(x/2)*x + c,add c mul x pow 3 mul div 1 2 x
109,y' + sin(5) + 3 = 0,add add 3 y' sin 5,(c - x)*(sin(5) + 3),mul add 3 sin 5 sub c x
110,5*x*y' - 5*y - 34 = 0,add add -34 mul -5 y mul mul 5 x y',c*x - 34/5,add div -34 5 mul c x
111,2*y^2 + y' = 0,add mul 2 pow y 2 y',3/(c + 6*x),div 3 add c mul 6 x
112,x*y' + y + 7 = 0,add add 7 mul x y' y,-5 + (c - 2*x)/x,add -5 mul pow x -1 add c mul -2 x
113,x^3*sin(x - 3) + x*y' - 2*y = 0,add add mul -2 y mul x y' mul pow x 3 sin add -3 x,x^2*(c + cos(x - 3)),mul pow x 2 add c cos add -3 x
114,x*y' + y*ln(y) - y*ln(10) = 0,add add mul x y' mul y log y mul mul -1 y log 10,10^(c/x + 1),pow 10 add 1 div c x
115,x*y' - 30*x - 6*y = 0,add add mul -30 x mul -6 y mul x y',c*x^6 - 6*x,add mul -6 x mul c pow x 6
116,x*y' - y + 20 = 0,add sub 20 y mul x y',c*x + 20,add 20 mul c x
117,28^x*y' + ln(28) = 0,add mul pow 28 x y' log 28,c + (1/28)^x,add c pow div 1 28 x
118,2*x^3 - x*cos(5)*y' + y*cos(5) - 3*cos(5) + 3 = 0,add add add add 3 mul -3 cos 5 mul 2 pow x 3 mul cos 5 y mul mul mul -1 x y' cos 5,x + (5*x*(c + x^2/5) - 3)/cos(5) + 3,add add 3 x mul pow cos 5 -1 add -3 mul mul 5 x add c mul div 1 5 pow x 2
119,-2*x*cos(x^2 - 4) + y' = 0,add mul mul -2 x cos add -4 pow x 2 y',c + sin(x^2 - 4),add c sin add -4 pow x 2
120,x^2 + x*y' - y - 4 = 0,add sub add -4 pow x 2 y mul x y',c*x - x^2 - 2*x - 4,add add sub -4 pow x 2 mul -2 x mul c x
121,ln(cos(1))*cos(1)^x + y' - 1 = 0,add add -1 mul pow cos 1 x log cos 1 y',c + x - cos(1)^x,sub add c x pow cos 1 x
122,2*e^(2*x + 2) + y' + 1 = 0,add add 1 mul 2 exp add 2 mul 2 x y',c - x - e^(2*x + 2),sub sub c x exp add 2 mul 2 x
123,x^2*y' + 36 = 0,add 36 mul pow x 2 y',(c*x + 12*x + 36)/x,mul pow x -1 add add 36 mul 12 x mul c x
124,x*ln(x)*y' + 4*y - 20 = 0,add add -20 mul 4 y mul mul x y' log x,c/ln(x)^4 + 5,add 5 mul c pow log x -4
125,x^2 - 2*x*y' + 2*y + 5 = 0,add add add 5 pow x 2 mul 2 y mul mul -2 x y',c*x + x*(x + 1)/2 - 5/2,add add div -5 2 mul c x mul mul div 1 2 x add 1 x
126,y*ln(y - 5) - 5*ln(y - 5) + 5*y' = 0,add add mul -5 log add -5 y mul 5 y' mul y log add -5 y,5^(c*e^(-x/5)) + 5,add 5 pow 5 mul c exp mul div -1 5 x
127,4*sqrt(-x - 4)*y' + 1 = 0,add 1 mul mul 4 sqrt sub -4 x y',c + sqrt(-x/4 - 1),add c sqrt add -1 mul div -1 4 x
128,x*y + x*y' - 2*y = 0,add add mul -2 y mul x y' mul x y,-x^2*e^(c - x)/3,mul mul div -1 3 pow x 2 exp sub c x
129,x*y' + 3*x - 4*y - 40 = 0,add add add -40 mul -4 y mul 3 x mul x y',c*x^4 + x - 10,add add -10 x mul c pow x 4
130,-y^2*cos(x) - 4*y^2 + 3*y' = 0,add add mul -4 pow y 2 mul 3 y' mul mul -1 pow y 2 cos x,-3/(c + 4*x + sin(x)),div -3 add add c mul 4 x sin x
131,5*e^(x) + y' = 0,add mul 5 exp x y',c - 5*e^(x),add c mul -5 exp x
132,5*x*y' - 10*y - 46 = 0,add add -46 mul -10 y mul mul 5 x y',c*x^2 - 23/5,add div -23 5 mul c pow x 2
133,e^(4*5^e^(4))*y' - 1 = 0,add -1 mul y' exp mul 4 pow 5 exp 4,(c + x)*e^(-4*5^e^(4)),mul add c x exp mul -4 pow 5 exp 4
134,x*y' - y*ln(y) - y' = 0,add add mul -1 y' mul x y' mul mul -1 y log y,5^(c*(1 - x)),pow 5 mul c sub 1 x
135,4*x*y' + y = 0,add mul mul 4 x y' y,2^(1/4)*(c/x)^(1/4),mul pow 2 div 1 4 pow div c x div 1 4
136,-3*sin(x) + y' + 3 = 0,add add 3 mul -3 sin x y',c - 3*x - 3*cos(x),add add c mul -3 x mul -3 cos x
137,x*y' + 6*y - 36 = 0,add add -36 mul 6 y mul x y',c/x^6 + 6,add 6 mul c pow x -6
138,x*e^(4)*y' - y*e^(4) - 5*e^(4) + 1 = 0,add add add 1 mul -5 exp 4 mul mul -1 exp 4 y mul mul x y' exp 4,c*x - 5 + e^(-4),add add -5 mul c x exp -4
139,3*x*ln(-x + y) + x*y' - 4*x - 3*y*ln(-x + y) + 3*y = 0,add add add add mul -4 x mul 3 y mul x y' mul mul -3 y log add mul -1 x y mul mul 3 x log add mul -1 x y,x + e^(c*x^3 + 1),add x exp add 1 mul c pow x 3
140,2*e^(y/2) + y' = 0,add mul 2 exp mul div 1 2 y y',-2*ln(c + x),mul -2 log add c x
141,2*x + 2*y' - 3 = 0,add add -3 mul 2 x mul 2 y',c - x*(x - 1)/2 + x,add add c x mul mul div -1 2 x add -1 x
142,x^2 + x*y' - y - 50 = 0,add sub add -50 pow x 2 y mul x y',c*x + (5 - x)*(x - 10),add mul c x mul add -10 x sub 5 x
143,3*x^2 - 6*y' + 2 = 0,add add 2 mul -6 y' mul 3 pow x 2,c + x^3/6 + x/3,add add c mul div 1 3 x mul div 1 6 pow x 3
144,x*y' - y - 9 = 0,add sub -9 y mul x y',c*x + x - 9,add add -9 x mul c x
145,x*y' + y - 4*y' = 0,add add mul -4 y' mul x y' y,c/(9*x/2 - 18),div c add -18 mul div 9 2 x
146,x*y' + y - 3*y' + cos(1)*y' = 0,add add add mul -3 y' mul x y' mul y' cos 1 y,c/(x - 3 + cos(1)),div c add add -3 x cos 1
147,x*y' - y + e^(3*cos(4)) = 0,add add mul -1 y mul x y' exp mul 3 cos 4,c*x + e^(3*cos(4)),add mul c x exp mul 3 cos 4
148,-3^x*x*ln(3) - 3^x + y' + 1 = 0,add add sub 1 pow 3 x mul mul mul -1 x pow 3 x log 3 y',c + x*(3^x - 1),add c mul x add -1 pow 3 x
149,64*x*y' - y*sin(x) + y + 64*cos(x)*y' = 0,add add add mul mul -1 y sin x mul mul 64 x y' mul mul 64 y' cos x y,(c*(x + cos(x)))^(-1/64),pow mul c add x cos x div -1 64
150,x^2*e^(4/x)*y' + 12 = 0,add 12 mul mul pow x 2 y' exp div 4 x,c - 3*e^(-4/x),add c mul -3 exp div -4 x
151,-y^2 + 6*y' = 0,add mul -1 pow y 2 mul 6 y',-6/(c + x),div -6 add c x
152,x*y' + y + 8 = 0,add add 8 mul x y' y,-3 + (c - 5*x)/x,add -3 mul pow x -1 add c mul -5 x
153,x*ln(x - y + 1) + x*y' - x - y*ln(x - y + 1) + ln(x - y + 1) = 0,add add add add mul -1 x mul x y' mul x log sub add 1 x y mul mul -1 y log sub add 1 x y log sub add 1 x y,x - (-cos(4))^(c*x) + 1,sub add 1 x pow mul -1 cos 4 mul c x
154,y*ln(2) + y' = 0,add mul y log 2 y',-5*2^(c - x),mul -5 pow 2 sub c x
155,-3*x^2 + y' = 0,add mul -3 pow x 2 y',x*(c/x + x^2) - 5,add -5 mul x add pow x 2 div c x
156,2*x - y' + 1 = 0,add sub 1 y' mul 2 x,x*(x - (c - x)/x),mul x add x mul div -1 x sub c x
157,-y*ln(5) + y' - 5*ln(5) = 0,add add mul -5 log 5 mul mul -1 y log 5 y',-9*5^(c + x)/2 - 5,add -5 mul div -9 2 pow 5 add c x
158,e^(y - 3)*y' + 1 = 0,add 1 mul y' exp add -3 y,ln(c - x) + 3,add 3 log sub c x
159,x*cos(x + 2) + x*y' + y + sin(x + 2) = 0,add add add mul x y' mul x cos add 2 x y sin add 2 x,c/x - sin(x + 2),add mul -1 sin add 2 x div c x
160,x*y' + 100*y = 0,add mul 100 y mul x y',c/x^100,mul c pow x -100
161,x*y' - y*ln(y) = 0,add mul x y' mul mul -1 y log y,2^(c*x + 5*x),pow 2 add mul 5 x mul c x
162,16*x^2 - x*y' + y = 0,add add mul 16 pow x 2 mul mul -1 x y' y,2*x*(c + 8*x),mul mul 2 x add c mul 8 x
163,5*3^(5/x)*ln(3) + x^2*y' = 0,add mul pow x 2 y' mul mul 5 pow 3 div 5 x log 3,3^(5/x) + c,add c pow 3 div 5 x
164,-3^(x + 4)*ln(3) + y' + 1 = 0,add add 1 mul mul -1 pow 3 add 4 x log 3 y',3^(x + 4) + c - x,sub add c pow 3 add 4 x x
165,x^2 - x*y' + y - sqrt(2) + 2 = 0,add add sub add 2 pow x 2 sqrt 2 mul mul -1 x y' y,c*x + x^2 - x - 2 + sqrt(2),add sub add add -2 sqrt 2 pow x 2 x mul c x
166,(16*x)^x*(ln(16*x) + 1) + y' + 2 = 0,add add 2 mul pow mul 16 x x add 1 log mul 16 x y',c - 2*x - (16*x)^x,add sub c pow mul 16 x x mul -2 x
167,x^2*y' + 72 = 0,add 72 mul pow x 2 y',(c*x + 4*x + 72)/x,mul pow x -1 add add 72 mul 4 x mul c x
168,x^2*y' + 64 = 0,add 64 mul pow x 2 y',c + 64/x,add c div 64 x
169,x*y' + 5*y + 5 = 0,add add 5 mul 5 y mul x y',c/x^5 - 1,add -1 mul c pow x -5
170,-y*ln(sin(1)) - sin(1)^x + y' = 0,add add mul -1 pow sin 1 x mul mul -1 y log sin 1 y',(c + x)*sin(1)^x,mul pow sin 1 x add c x
171,32*x*y^2*e^(4)*e^(-3/(4*y)) + 3*y' = 0,add mul 3 y' mul mul mul mul 32 x pow y 2 exp 4 exp div div -3 4 y,3/(4*ln(c + 4*x^2) + 16),div 3 add 16 mul 4 log add c mul 4 pow x 2
172,4*y*ln(cos(1)) + y' = 0,add mul mul 4 y log cos 1 y',c/cos(1)^(4*x),mul c pow cos 1 mul -4 x
