id,equ_str,equ_prefix,sol_str,sol_prefix
6526,-6*x^5 + y' - 3 = 0,add add -3 mul -6 pow x 5 y',c + x^6 + 3*x,add add c pow x 6 mul 3 x
30392,x*y' + 4*y + y' = 0,add add mul 4 y mul x y' y',c/(-x - 1)^4,mul c pow sub -1 x -4
28594,3*x*y' + 5*x - 6*y = 0,add add mul -6 y mul 5 x mul mul 3 x y',x*(c*x + 5/3),mul x add div 5 3 mul c x
2582,5*y' + 16 = 0,add 16 mul 5 y',c - 16*x/5,add c mul div -16 5 x
2724,x*y' + 1 = 0,add 1 mul x y',c + ln(2/(5*x)),add c log div div 2 5 x
1052,-80*x^3 + y' + 1 = 0,add add 1 mul -80 pow x 3 y',c + 20*x^4 - x,add sub c x mul 20 pow x 4
22517,-2*x*sin(x) + 2*cos(x) + y' - 2 = 0,add add add -2 mul 2 cos x mul mul -2 x sin x y',c - 2*x*cos(x) + 2*x,add add c mul 2 x mul mul -2 x cos x
11057,-x^x*(ln(x) + 1) - y' - 2 = 0,add sub -2 y' mul mul -1 pow x x add 1 log x,x*(-2 - (c + x^x)/x),mul x add -2 mul div -1 x add c pow x x
8500,-8*(x - 2)^7 + y' = 0,add mul -8 pow add -2 x 7 y',c + (x - 2)^8,add c pow add -2 x 8
19082,5*x*e^(x) + x*y' - y - 5*e^(x) = 0,add add add mul -1 y mul -5 exp x mul x y' mul mul 5 x exp x,c*x - 5*x - 5*e^(x),add add mul -5 x mul -5 exp x mul c x
19305,2*x*y' - 2*y - 3*y' = 0,add add mul -3 y' mul -2 y mul mul 2 x y',c*(x*(2*x - 4) + x)/x,mul div c x add x mul x add -4 mul 2 x
12535,12*x^4 + 2*x^3 - x*y' + y - 3 = 0,add add add add -3 mul 2 pow x 3 mul 12 pow x 4 mul mul -1 x y' y,x*(c + (-4 - 1/x)*(-x^3 - 3)),mul x add c mul sub -4 pow x -1 sub -3 pow x 3
25324,e^(2*x)*y' + 2 = 0,add 2 mul y' exp mul 2 x,c + e^(-2*x),add c exp mul -2 x
27657,x^2*y' - e^(1/x) = 0,add mul -1 exp pow x -1 mul pow x 2 y',c - e^(1/x),sub c exp pow x -1
3334,4*x^2 - x*y' + y + 8 = 0,add add add 8 mul 4 pow x 2 mul mul -1 x y' y,4*x*(c + x) - 8,add -8 mul mul 4 x add c x
23878,-y*cos(x) + sin(x)*y' = 0,add mul y' sin x mul mul -1 cos x y,c*ln(5^(x*sin(x)))/x,mul div c x log pow 5 mul x sin x
25509,x*y' + 3*x - 2*y = 0,add add mul -2 y mul 3 x mul x y',x*(c*x + 4) - x,add mul -1 x mul x add 4 mul c x
2924,81*x^2 + x*y' - y = 0,add add mul -1 y mul 81 pow x 2 mul x y',81*x*(c - x),mul mul 81 x sub c x
33364,4*x^3 - 2*x*y' + 2*y + 1 = 0,add add add 1 mul 2 y mul 4 pow x 3 mul mul -2 x y',c*x + x^3 - 1/2,add add div -1 2 pow x 3 mul c x
2171,4*x^5 + 5*x*y' - 5*y = 0,add add mul -5 y mul 4 pow x 5 mul mul 5 x y',c*x - x^5/5 - 2*x,add add mul -2 x mul div -1 5 pow x 5 mul c x
31503,5*x + 2*y' + 5 = 0,add add 5 mul 2 y' mul 5 x,c - 5*x*(x + 2)/4,add c mul mul div -5 4 x add 2 x
8880,32*x*ln(x) + 16*x + x^(x^2)*y' = 0,add add mul 16 x mul pow x pow x 2 y' mul mul 32 x log x,c + 16/x^(x^2),add c mul 16 pow x mul -1 pow x 2
21898,2*x*ln(6) + y*ln(6) - y' - 2 = 0,add add sub -2 y' mul y log 6 mul mul 2 x log 6,6^x*c - 2*x,add mul -2 x mul c pow 6 x
2495,x*y' - 1 = 0,add -1 mul x y',c + ln(-4*x),add c log mul -4 x
1931,-15*e^(3*x) + y' - 5 = 0,add add -5 mul -15 exp mul 3 x y',c + 5*x + 5*e^(3*x),add add c mul 5 x mul 5 exp mul 3 x
9081,x^4 + 9*x*y' - 9*y = 0,add add pow x 4 mul -9 y mul mul 9 x y',x*(c - x^3/27) - x,add mul -1 x mul x add c mul div -1 27 pow x 3
20957,16*x^2 - 15*x*y' + 15*y = 0,add add mul 15 y mul 16 pow x 2 mul mul -15 x y',x^2/15 + x*(c + x),add mul div 1 15 pow x 2 mul x add c x
4699,6*x^3 + 5*x*y' - 5*y = 0,add add mul -5 y mul 6 pow x 3 mul mul 5 x y',x*(c - 3*x^2)/5,mul mul div 1 5 x add c mul -3 pow x 2
24387,4*y' + 9 = 0,add 9 mul 4 y',c - 9*x/4,add c mul div -9 4 x
33599,y^26 + 25*y' = 0,add pow y 26 mul 25 y',(c + x)^(-1/25),pow add c x div -1 25
10914,-5*y + 5*y' + 2 = 0,add add 2 mul -5 y mul 5 y',2/5 - e^(c + x),sub div 2 5 exp add c x
29017,x*y' + 10*x - 6*y = 0,add add mul -6 y mul 10 x mul x y',c*x^6 + 2*x,add mul 2 x mul c pow x 6
18507,-2*y^2 + y' = 0,add mul -2 pow y 2 y',x/(2*x*(c - x) - x),div x add mul -1 x mul mul 2 x sub c x
9419,-x^2 + y' + 1 = 0,add sub 1 pow x 2 y',c + x^3/3 - x,add sub c x mul div 1 3 pow x 3
6239,3*x*y' + 3*y - 16*y' = 0,add add mul -16 y' mul 3 y mul mul 3 x y',c/(x - 16/3),div c add div -16 3 x
10890,x*y' - y = 0,add mul -1 y mul x y',c*x - x/81,add mul div -1 81 x mul c x
33109,2*x*y' - 3*y = 0,add mul -3 y mul mul 2 x y',-2*sqrt(c*x^3),mul -2 sqrt mul c pow x 3
13736,20*y' - 11 = 0,add -11 mul 20 y',c + 11*x/20,add c mul div 11 20 x
15745,5*x*y' + 5*y + 37*y' = 0,add add mul 5 y mul 37 y' mul mul 5 x y',c/(x + 37/5),div c add div 37 5 x
21415,x*y' - y - 3 = 0,add sub -3 y mul x y',x*(c + 2/x) + 2*x - 5,add add -5 mul 2 x mul x add c div 2 x
22806,-6*x + y' - 5 = 0,add add -5 mul -6 x y',c - x*(-3*x - 5),add c mul mul -1 x add -5 mul -3 x
18374,-x*y*ln(2) + x*y' - 13*x*ln(2) - y - 13 = 0,add add add sub -13 y mul x y' mul mul -13 x log 2 mul mul mul -1 x y log 2,2^x*c*x - 13,add -13 mul mul c x pow 2 x
15841,x*y' - y + 3 = 0,add sub 3 y mul x y',x*(c + 3/x),mul x add c div 3 x
27415,x^2 + x*y' - y + 4 = 0,add sub add 4 pow x 2 y mul x y',c*x - x^2 + 4,add sub 4 pow x 2 mul c x
13144,x^2 + x*e^(x)*cos(e^(x)) - x*y' + y - sin(e^(x)) - 6 = 0,add add add sub add -6 pow x 2 sin exp x mul mul -1 x y' mul mul x cos exp x exp x y,x*(c + x + 3/x) + x + sin(e^(x)) + 3,add add add 3 x mul x add add c x div 3 x sin exp x
14495,-10*x^4 + y' + 2 = 0,add add 2 mul -10 pow x 4 y',c + 2*x^5 - 2*x,add add c mul -2 x mul 2 pow x 5
12292,x*y + x*y' + x - y - 1 = 0,add add sub add -1 x y mul x y' mul x y,-x*e^(c - x)/4 - 1,add -1 mul mul div -1 4 x exp sub c x
11149,8*x - 20*y' + 15 = 0,add add 15 mul -20 y' mul 8 x,c + x^2/5 + 3*x/4,add add c mul div 1 5 pow x 2 mul div 3 4 x
26231,x*y' + 25*x - 2*y = 0,add add mul -2 y mul 25 x mul x y',5*x*(c*x + 5),mul mul 5 x add 5 mul c x
9565,3*x*ln(3*x - 3*y + 5) + 3*x*y' - 3*x*ln(3) - 3*x - 3*y*ln(3*x - 3*y + 5) + 3*y*ln(3) + 5*ln(3*x - 3*y + 5) - 5*ln(3) = 0,add add add add add add add mul -5 log 3 mul -3 x mul 5 log add add 5 mul -3 y mul 3 x mul mul -3 x log 3 mul mul -3 y log add add 5 mul -3 y mul 3 x mul mul 3 x y' mul mul 3 x log add add 5 mul -3 y mul 3 x mul mul 3 y log 3,x - e^(c*x) + 5/3,sub add div 5 3 x exp mul c x
12301,x*y' - y = 0,add mul -1 y mul x y',c*(x + x*ln(3)),mul c add x mul x log 3
27395,x*y' - 8*x - 5*y - 10 = 0,add add add -10 mul -8 x mul -5 y mul x y',c*x^5 - 2*x - 2,add add -2 mul -2 x mul c pow x 5
6921,sin(x - 1) + y' = 0,add y' sin add -1 x,c + cos(x - 1),add c cos add -1 x
26145,-y + y' - 3 = 0,add sub -3 y y',c*e^(x) - 3,add -3 mul c exp x
7685,-y*ln(3) + y' = 0,add mul mul -1 y log 3 y',(1/3)^(c - x),pow div 1 3 sub c x
32134,8*x - y' + 12 = 0,add sub 12 y' mul 8 x,4*x*(c/x + x + 3),mul mul 4 x add add 3 x div c x
103,6*x - 3*y' + 2 = 0,add add 2 mul -3 y' mul 6 x,c + x^2 + 2*x/3,add add c pow x 2 mul div 2 3 x
24835,3*x*y' - 10*x - 6*y + 30 = 0,add add add 30 mul -10 x mul -6 y mul mul 3 x y',x*(c*x - 2) - 4*x/3 + 5,add add 5 mul div -4 3 x mul x add -2 mul c x
11764,9*x^2 - 8*y' = 0,add mul -8 y' mul 9 pow x 2,c + 3*x^3/8,add c mul div 3 8 pow x 3
16665,5*x*ln(5) - y*ln(5) + y' - 5*ln(5) - 5 = 0,add add add add -5 mul -5 log 5 mul mul -1 y log 5 mul mul 5 x log 5 y',5^x*c + 5*x - 5,add add -5 mul 5 x mul c pow 5 x
24790,sin(x)^2*y' - 3*cos(x) = 0,add mul -3 cos x mul pow sin x 2 y',c - 3/sin(x),add c div -3 sin x
17865,x*y' + 4*x - 3*y = 0,add add mul -3 y mul 4 x mul x y',x*(c*x^2 + 2),mul x add 2 mul c pow x 2
8513,x*y' + y + 5 = 0,add add 5 mul x y' y,10*(c - x/2)/x,mul div 10 x add c mul div -1 2 x
23521,-x^(x^2 + x)*((2*x + 1)*ln(x) + (x^2 + x)/x) + y' + 4 = 0,add add 4 mul mul -1 pow x add x pow x 2 add mul pow x -1 add x pow x 2 mul add 1 mul 2 x log x y',c - 4*x + x^(x^2 + x),add add c pow x add x pow x 2 mul -4 x
6745,ln(cos(5))*cos(5)^x + y' = 0,add mul pow cos 5 x log cos 5 y',c - cos(5)^x,sub c pow cos 5 x
19620,-2*y + y' = 0,add mul -2 y y',-4*e^(c + 2*x),mul -4 exp add c mul 2 x
7422,x*y' - 14*y*ln(y) = 0,add mul x y' mul mul -14 y log y,2^(c*x^14),pow 2 mul c pow x 14
16870,4*x + 3*y' + 4 = 0,add add 4 mul 3 y' mul 4 x,c + x*(2/3 - 2*x/3) - 2*x,add add c mul -2 x mul x add div 2 3 mul div -2 3 x
2579,x*y' - 3*y*ln(y/x) - y = 0,add add mul -1 y mul x y' mul mul -3 y log mul pow x -1 y,x*e^(c*x^3),mul x exp mul c pow x 3
28662,x*y' + 2*y + 12 = 0,add add 12 mul 2 y mul x y',(c/x - 6*x)/x,mul pow x -1 add mul -6 x div c x
22648,e^(3*x)*y' + 3 = 0,add 3 mul y' exp mul 3 x,c + e^(-3*x),add c exp mul -3 x
14921,-2*x*cos(x^2 + 5) + 2*x + y' + 1 = 0,add add add 1 mul 2 x mul mul -2 x cos add 5 pow x 2 y',c - x^2 - x + sin(x^2 + 5),add sub sub c x pow x 2 sin add 5 pow x 2
25576,4*x^2 + x*y' - y = 0,add add mul -1 y mul 4 pow x 2 mul x y',4*x*(c - x) + x,add x mul mul 4 x sub c x
17192,6*cos(3*x - 15) + y' + 2 = 0,add add 2 mul 6 cos add -15 mul 3 x y',c - 2*x - 2*sin(3*x - 15),add add c mul -2 x mul -2 sin add -15 mul 3 x
14353,3*x^2 + 5*x*y' - 5*y - 5 = 0,add add add -5 mul -5 y mul 3 pow x 2 mul mul 5 x y',-3*x*(c + x)/5 - 1,add -1 mul mul div -3 5 x add c x
27252,-18*x + y' + 9 = 0,add add 9 mul -18 x y',c + 9*x^2 - 9*x,add add c mul -9 x mul 9 pow x 2
19868,x*y' - y*ln(y + 3) - y - 3*ln(y + 3) - 3 = 0,add add add sub -3 y mul -3 log add 3 y mul x y' mul mul -1 y log add 3 y,e^(c*x - 1) - 3,add -3 exp add -1 mul c x
32984,5*x^2 + x*y' - y + 30 = 0,add add sub 30 y mul 5 pow x 2 mul x y',-5*x*(c + x) + 30,add 30 mul mul -5 x add c x
8094,x*y' - y*ln(y) - 5*y' = 0,add add mul -5 y' mul x y' mul mul -1 y log y,e^(c*(20 - 4*x)),exp mul c add 20 mul -4 x
30825,2*x^2 - x*y' + y - 1 = 0,add add add -1 mul 2 pow x 2 mul mul -1 x y' y,x*(c + 2*x) + x + 1,add add 1 x mul x add c mul 2 x
32779,4*x^2 + 8*x*y^7*y' - y^8 = 0,add add mul -1 pow y 8 mul 4 pow x 2 mul mul mul 8 x pow y 7 y',(x*(c - 4*x))^(1/8),pow mul x add c mul -4 x div 1 8
4387,2*x^2*sin(x) + x*y' - y = 0,add add mul -1 y mul x y' mul mul 2 pow x 2 sin x,c*x + 2*x*cos(x),add mul c x mul mul 2 x cos x
32200,y' - 1 + e^(10) = 0,add add -1 y' exp 10,c - x*e^(10) + x,add add c x mul mul -1 x exp 10
291,x*y' - y - 19 = 0,add sub -19 y mul x y',c*x - 19,add -19 mul c x
15680,5*x^2 - 2*x*y' + 2*y + 10 = 0,add add add 10 mul 2 y mul 5 pow x 2 mul mul -2 x y',-5*(-x^2*(c + x)/2 + x)/x,mul div -5 x add x mul mul div -1 2 pow x 2 add c x
30311,3*x^2*y' + 5 = 0,add 5 mul mul 3 pow x 2 y',c - (x - 5)/(3*x),add c mul div div -1 3 x add -5 x
2085,y' + 4*sin(4) = 0,add mul 4 sin 4 y',c - 4*x*sin(4),add c mul mul -4 x sin 4
15832,10*x + e^(5*x^2)*y' = 0,add mul 10 x mul y' exp mul 5 pow x 2,c + e^(-5*x^2),add c exp mul -5 pow x 2
32678,4*x^2 + 25*x*y' - 25*y - 25 = 0,add add add -25 mul -25 y mul 4 pow x 2 mul mul 25 x y',-4*x*(c + x/5)/5 - 1,add -1 mul mul div -4 5 x add c mul div 1 5 x
6453,2*x*y' + y*sin(5) = 0,add mul y sin 5 mul mul 2 x y',(c/sqrt(x))^sin(5),pow mul c pow x div -1 2 sin 5
25306,-2*x + y' + 12 = 0,add add 12 mul -2 x y',c + x*(x - 13) + x,add add c x mul x add -13 x
13466,-8*y^2 + 5*y' = 0,add mul -8 pow y 2 mul 5 y',-5/(c + 8*x + 2),div -5 add add 2 c mul 8 x
16041,x*y' + y + 3 = 0,add add 3 mul x y' y,-3*(c + x)/x,mul div -3 x add c x
29645,-6*y^2 + y' = 0,add mul -6 pow y 2 y',4/(c - 24*x),div 4 add c mul -24 x
18389,y' - e^(2) - 1 = 0,add sub -1 exp 2 y',c + x - (-x - 4)*e^(2),add add c x mul mul -1 sub -4 x exp 2
28932,x*y' + 6*y + 30 = 0,add add 30 mul 6 y mul x y',-5 + 1/(x^3*(c*x + x)^3),add -5 mul pow x -3 pow add x mul c x -3
20290,3*x^(x/2)*y' - 10*ln(x) - 10 = 0,add add -10 mul -10 log x mul mul 3 pow x mul div 1 2 x y',c - 20/(3*x^(x/2)),add c mul div -20 3 pow x mul div -1 2 x
29109,5*x + sqrt(5)*y' - 5 = 0,add add -5 mul 5 x mul sqrt 5 y',sqrt(5)*(c - x^2/2 + x),mul sqrt 5 add add c x mul div -1 2 pow x 2
1553,y' + cos(3) + 1 = 0,add add 1 y' cos 3,-(c + x)*(cos(3) + 1),mul mul -1 add 1 cos 3 add c x
1765,x*y' - 4*y - 36 = 0,add add -36 mul -4 y mul x y',c*x^4 - 9,add -9 mul c pow x 4
16359,4*x - 4*y + y' + 15 = 0,add add add 15 mul -4 y mul 4 x y',x - e^(c + 4*x) + 4,sub add 4 x exp add c mul 4 x
24766,2*x^21*y' - 5 = 0,add -5 mul mul 2 pow x 21 y',c - 1/(8*x^20),add c mul div -1 8 pow x -20
2865,3^x*ln(3) - 2*x + y' - 1 = 0,add add add -1 mul -2 x mul pow 3 x log 3 y',-3^x + c + x^2 + x,sub add add c x pow x 2 pow 3 x
7981,-y*ln(3) + y' = 0,add mul mul -1 y log 3 y',-4*3^(c + x),mul -4 pow 3 add c x
28043,5*e^(x) + y' + 1 = 0,add add 1 mul 5 exp x y',c - x - 5*e^(x),add sub c x mul -5 exp x
4303,-2*3^x*ln(3) + y' + 4 = 0,add add 4 mul mul -2 pow 3 x log 3 y',2*3^x + c - 4*x,add add c mul -4 x mul 2 pow 3 x
5100,x*y' - y = 0,add mul -1 y mul x y',-2*(c*x + x)*e^(-1),mul mul -2 add x mul c x exp -1
16045,x*y' - x - x^cos(10)*cos(10) = 0,add add mul -1 x mul x y' mul mul -1 pow x cos 10 cos 10,c + x + x^cos(10),add add c x pow x cos 10
26593,4*(4 - x)^3 + y' - 1 = 0,add add -1 mul 4 pow sub 4 x 3 y',c + x + (4 - x)^4,add add c x pow sub 4 x 4
17894,21*x*y' + 21*y - 20 = 0,add add -20 mul 21 y mul mul 21 x y',-20*(c - x)/(21*x),mul div div -20 21 x sub c x
3740,x*y' - 2*y = 0,add mul -2 y mul x y',13*x*(c*x + x),mul mul 13 x add x mul c x
7221,8*x^2*(x - 5)^(3/5) - 5*x*y' + 5*y = 0,add add mul 5 y mul mul -5 x y' mul mul 8 pow x 2 pow add -5 x div 3 5,x*(c + (x - 5)^(8/5)),mul x add c pow add -5 x div 8 5
5878,2*x^3 - x^2 + x*y' - y + 5 = 0,add add sub sub 5 pow x 2 y mul 2 pow x 3 mul x y',-x^3 + x*(c + x) + 5,add sub 5 pow x 3 mul x add c x
30848,x*y' - 7*y + 14 = 0,add add 14 mul -7 y mul x y',c*x^7 + 2,add 2 mul c pow x 7
15736,x*y' - 4*x - 2*y + 4 = 0,add add add 4 mul -4 x mul -2 y mul x y',c*x^2 + 2*x*(x - 2) + 2,add add 2 mul c pow x 2 mul mul 2 x add -2 x
5894,3*x^4 + x*y' - y = 0,add add mul -1 y mul 3 pow x 4 mul x y',c*x - x^4 + 2*x,add add mul -1 pow x 4 mul 2 x mul c x
16985,x^x*(ln(x) + 1)*cos(x^x) + y' = 0,add mul mul pow x x add 1 log x cos pow x x y',c - sin(x^x),sub c sin pow x x
11430,2*x*y*sin(sin(x/5))*cos(x/5) + x*cos(sin(x/5))*y' - 8*y*cos(sin(x/5)) = 0,add add mul mul -8 cos sin mul div 1 5 x y mul mul x y' cos sin mul div 1 5 x mul mul mul mul 2 x cos mul div 1 5 x y sin sin mul div 1 5 x,c*x^8*cos(sin(x/5))^10,mul mul c pow x 8 pow cos sin mul div 1 5 x 10
29991,x*y' - 4*y - 8 = 0,add add -8 mul -4 y mul x y',(c*x^5 - 2*x)/x,mul pow x -1 add mul -2 x mul c pow x 5
4104,4*sin(1)*y' + 1 = 0,add 1 mul mul 4 y' sin 1,(c - x/4)/sin(1),mul pow sin 1 -1 add c mul div -1 4 x
22231,5*x^(4*x/5)*y' + 4*ln(x) + 4 = 0,add add 4 mul 4 log x mul mul 5 pow x mul div 4 5 x y',c + x^(-4*x/5),add c pow x mul div -4 5 x
22345,x*y' - y - 10 = 0,add sub -10 y mul x y',c*x - 5*x - 10,add add -10 mul -5 x mul c x
22100,x*y' + y*ln(y + 4) - 2*y*ln(20) + 4*ln(y + 4) - 8*ln(20) = 0,add add add add mul -8 log 20 mul 4 log add 4 y mul x y' mul y log add 4 y mul mul -2 y log 20,25*2^(c/x + 4) - 4,add -4 mul 25 pow 2 add 4 div c x
13143,4*x^x*(ln(x) + 1) + y' + 3 = 0,add add 3 mul mul 4 pow x x add 1 log x y',c - 3*x - 4*x^x,add add c mul -4 pow x x mul -3 x
20535,y' + cos(2) = 0,add y' cos 2,c - x*cos(2),add c mul mul -1 x cos 2
2797,x*y' - 6*x - 2*y + 18 = 0,add add add 18 mul -6 x mul -2 y mul x y',c*x^2 - 6*x + 9,add add 9 mul -6 x mul c pow x 2
31599,2*x^4*y*y' + 3 = 0,add 3 mul mul mul 2 pow x 4 y' y,sqrt(c + x^(-3)),sqrt add c pow x -3
26271,3*x^2*y*ln(2) - y' = 0,add mul -1 y' mul mul mul 3 pow x 2 y log 2,2^(x^3)*c,mul c pow 2 pow x 3
31023,2*x + y' = 0,add mul 2 x y',c + x*(-x - 1) + x,add add c x mul x sub -1 x
1714,-6*x + y' + 3 = 0,add add 3 mul -6 x y',x*(c/x + 3*x - 3),mul x add add -3 mul 3 x div c x
33257,2*y*ln(5) + 5*y' + 8*ln(5) = 0,add add mul 5 y' mul 8 log 5 mul mul 2 y log 5,5^(c - 2*x/5) - 4,add -4 pow 5 add c mul div -2 5 x
25178,x*y' + 5*y + 3*y' = 0,add add mul 3 y' mul 5 y mul x y',c/(-x - 3)^5,mul c pow sub -3 x -5
6308,x*y' - 2*y + 2 = 0,add add 2 mul -2 y mul x y',x*(c*x + x)/64 + 1,add 1 mul mul div 1 64 x add x mul c x
741,x*ln(3) - y*ln(3) + y' - 1 + 4*ln(3) = 0,add add add add -1 mul 4 log 3 mul x log 3 mul mul -1 y log 3 y',-3^(c + x) + x + 4,sub add 4 x pow 3 add c x
26707,32*x*y' - 32*y + y' = 0,add add mul -32 y mul mul 32 x y' y',c*(-x/2 - 1/64),mul c add div -1 64 mul div -1 2 x
24462,x^3*y' - 8*y*ln(2) = 0,add mul pow x 3 y' mul mul -8 y log 2,c/4^(2/x^2),mul c pow 4 mul -2 pow x -2
16073,y + y' + 1 = 0,add add 1 y' y,c*e^(3 - x) - 1,add -1 mul c exp sub 3 x
11358,-sin(x - 2) + y' = 0,add mul -1 sin add -2 x y',c - cos(x - 2),sub c cos add -2 x
2549,15*4^(-x + cos(4))*ln(4) + y' = 0,add mul mul 15 pow 4 add mul -1 x cos 4 log 4 y',15*4^(-x + cos(4)) + c,add c mul 15 pow 4 add mul -1 x cos 4
32888,-4*sin(x) + y' - 1 = 0,add add -1 mul -4 sin x y',c + x - 4*cos(x),add add c x mul -4 cos x
30396,x^2*y' + 2*x*y - 10*y' = 0,add add mul -10 y' mul pow x 2 y' mul mul 2 x y,c/(x^2/2 - 5),div c add -5 mul div 1 2 pow x 2
18132,x*y' - y + 32 = 0,add sub 32 y mul x y',c*x - 7*x + 32,add add 32 mul -7 x mul c x
8211,5*x*cos(x) - 5*y*cos(x) - 3*sin(x)^2 + 5*sin(x)*y' - 5*sin(x) = 0,add add add add mul -5 sin x mul -3 pow sin x 2 mul mul -5 cos x y mul mul 5 x cos x mul mul 5 y' sin x,x - 3*(c - x)*sin(x)/5,add x mul mul div -3 5 sub c x sin x
32301,2*x*y' + y - 12*y' = 0,add add mul -12 y' mul mul 2 x y' y,c/sqrt(x/2 - 3),mul c pow add -3 mul div 1 2 x div -1 2
8943,2*y*ln(3) + y' = 0,add mul mul 2 y log 3 y',9^(-x - 4)*c,mul c pow 9 sub -4 x
4739,-8*x + y' - 1 = 0,add add -1 mul -8 x y',c + x*(4*x + 5/x) + x,add add c x mul x add mul 4 x div 5 x
4286,5*y' + 8 = 0,add 8 mul 5 y',c - 8*x/5,add c mul div -8 5 x
11311,x*y' + y + 8*y' = 0,add add mul 8 y' mul x y' y,c/(x/2 + 4),div c add 4 mul div 1 2 x
25894,-2*x + y' - sin(5) = 0,add add mul -1 sin 5 mul -2 x y',c + x*(x + sin(5)),add c mul x add x sin 5
6425,3*x*y' - 3*y - 2 = 0,add add -2 mul -3 y mul mul 3 x y',x*(c - 2/(3*x)),mul x add c div div -2 3 x
2496,-4*x*y + x*y' - 4*y = 0,add add mul -4 y mul x y' mul mul -4 x y,c*x^4*e^(4*x),mul mul c pow x 4 exp mul 4 x
28532,-5*x^4 - 2*x + y' + 1 = 0,add add add 1 mul -5 pow x 4 mul -2 x y',x*(c/x + x^4 + x) - x,add mul -1 x mul x add add x pow x 4 div c x
27552,4*x^3 - 3*x*y' + 3*y = 0,add add mul 3 y mul 4 pow x 3 mul mul -3 x y',2*x^2*(c/x + x)/3,mul mul div 2 3 pow x 2 add x div c x
8592,10*x^4*y' - 3 = 0,add -3 mul mul 10 pow x 4 y',c - 1/(10*x^3),add c mul div -1 10 pow x -3
20508,x - y + y' - 1 = 0,add sub add -1 x y y',c*e^(x) + x,add x mul c exp x
31049,5*x - 2*y' + 10 = 0,add add 10 mul -2 y' mul 5 x,c - x*(-5*x/4 - 5),add c mul mul -1 x add -5 mul div -5 4 x
27119,x*y' + x - 2*y = 0,add add x mul -2 y mul x y',x*(c*x + 3*x) + x,add x mul x add mul 3 x mul c x
18634,28*x^2 + 3*x*y' - 3*y = 0,add add mul -3 y mul 28 pow x 2 mul mul 3 x y',-8*x*(c + 7*x/6),mul mul -8 x add c mul div 7 6 x
4438,-y^2 + 2*y' = 0,add mul -1 pow y 2 mul 2 y',1/(2*(c - x/4)),div div 1 2 add c mul div -1 4 x
15884,x*y' - y = 0,add mul -1 y mul x y',c*x + 13*x/15,add mul div 13 15 x mul c x
16051,2*x^3 + x*y' - y - 2 = 0,add add sub -2 y mul 2 pow x 3 mul x y',x*(c - x^2) - 2,add -2 mul x sub c pow x 2
14655,x^x*(ln(x) + 1) + (y' - 1)*e^(-x + y - 5) - 1 = 0,add add -1 mul pow x x add 1 log x mul add -1 y' exp add sub -5 x y,x + ln(c + x - x^x) + 5,add add 5 x log sub add c x pow x x
4702,-4*x + y' - 1 = 0,add add -1 mul -4 x y',x*(c/x + 2*x + 1),mul x add add 1 mul 2 x div c x
1827,x*y' - 4*y + 12 = 0,add add 12 mul -4 y mul x y',(c*x + x)^4 + 3,add 3 pow add x mul c x 4
5453,x^2 - 3*x*y' + 3*y = 0,add add pow x 2 mul 3 y mul mul -3 x y',x*(c + x)/3 - x,add mul -1 x mul mul div 1 3 x add c x
